CAJDSM010000002.1	sp|Q96I76|GPTC3_HUMAN	55.085	118	40	1	11576	11929	351	455	6.17e-30	134
CAJDSM010000003.1	sp|P26630|PAX6_DANRE	96.552	116	4	0	58541	58194	24	139	9.88e-65	235
CAJDSM010000005.1	sp|Q63HN8|RN213_HUMAN	72.368	76	21	0	42912	43139	2727	2802	2.37e-22	114
CAJDSM010000006.1	sp|Q8K354|CBR3_MOUSE	37.143	280	154	4	117152	116334	6	270	2.19e-57	207
CAJDSM010000007.1	sp|Q8C1B2|PARPT_MOUSE	45.600	125	67	1	47443	47069	526	649	3.90e-24	118
CAJDSM010000008.1	sp|P54750|PDE1A_HUMAN	46.512	129	65	2	96509	96129	154	280	4.42e-24	117
CAJDSM010000010.1	sp|Q8CEE6|PASK_MOUSE	69.565	69	21	0	38555	38761	1169	1237	6.10e-21	109
CAJDSM010000012.1	sp|Q9VZF4|FBXW7_DROME	86.486	74	10	0	47750	47529	1161	1234	3.19e-63	138
CAJDSM010000012.1	sp|Q9VZF4|FBXW7_DROME	81.609	87	16	0	47431	47171	1233	1319	3.19e-63	132
CAJDSM010000012.1	sp|Q9VZF4|FBXW7_DROME	77.500	80	18	0	49272	49033	1083	1162	8.35e-30	137
CAJDSM010000014.1	sp|P04323|POL3_DROME	40.244	246	140	4	2498	1773	282	524	3.03e-52	167
CAJDSM010000014.1	sp|P04323|POL3_DROME	37.000	100	62	1	1753	1454	531	629	3.03e-52	67.8
CAJDSM010000016.1	sp|Q5EA65|GPT_BOVIN	53.254	169	38	2	20416	19919	87	217	5.16e-41	164
CAJDSM010000016.1	sp|Q5EA65|GPT_BOVIN	80.952	63	12	0	17367	17179	244	306	1.43e-24	115
CAJDSM010000018.1	sp|Q9UIU6|SIX4_HUMAN	75.281	178	44	0	9662	10195	106	283	4.28e-86	307
CAJDSM010000023.1	sp|Q96AD5|PLPL2_HUMAN	59.341	91	36	1	35795	36064	163	253	1.68e-25	120
CAJDSM010000026.1	sp|Q3L254|WNT7B_CHICK	64.130	92	33	0	83792	84067	100	191	2.48e-29	129
