comp75_c0_seq1	sp	Q3SWT6	PPE1_RAT	69.737	76	23	0	229	2	342	417	1.69e-35	129
comp147_c0_seq1	sp	Q8IWF2	FXRD2_HUMAN	59.821	112	44	1	5	337	187	298	2.79e-39	141
comp455_c0_seq1	sp	Q24270	CAC1D_DROME	70.000	80	24	0	241	2	582	661	5.84e-33	124
comp484_c0_seq1	sp	Q92178	CAN2_CHICK	51.613	93	44	1	284	6	152	243	1.07e-24	99.8
comp682_c0_seq1	sp	Q8K3K1	USH2A_RAT	50.538	93	46	0	288	10	1004	1096	5.39e-26	103
comp797_c0_seq1	sp	O93367	TLX3_CHICK	80.180	111	15	2	2	319	161	269	1.99e-44	148
comp838_c0_seq1	sp	P15535	B4GT1_MOUSE	41.935	93	51	1	1	270	306	398	5.22e-21	90.1
comp839_c0_seq1	sp	O15072	ATS3_HUMAN	29.758	289	148	10	41	784	37	311	1.02e-30	124
comp943_c0_seq1	sp	Q3UHD1	AGRB1_MOUSE	55.263	76	34	0	229	2	466	541	1.13e-21	90.5
comp957_c0_seq1	sp	P04069	CBPB_ASTAS	61.765	68	26	0	3	206	228	295	4.39e-22	89.7
comp994_c0_seq1	sp	P42674	BP10_PARLI	51.852	81	37	2	257	15	150	228	2.22e-21	89.7
comp1044_c0_seq1	sp	O18783	PLMN_NOTEU	43.836	146	70	5	38	460	85	223	1.08e-23	99.4
comp1048_c0_seq1	sp	Q00174	LAMA_DROME	73.529	68	18	0	205	2	91	158	7.90e-36	130
comp1048_c1_seq1	sp	Q00174	LAMA_DROME	60.000	75	28	1	225	1	24	96	6.66e-23	94.0
comp1124_c0_seq1	sp	Q95218	DMBT1_RABIT	53.191	94	38	1	3	266	768	861	3.62e-24	97.8
comp1124_c0_seq1	sp	Q95218	DMBT1_RABIT	41.880	117	39	1	3	266	506	622	7.94e-21	88.2
comp1301_c1_seq1	sp	Q8IWY4	SCUB1_HUMAN	51.613	124	58	1	378	13	35	158	3.70e-35	131
comp1359_c0_seq1	sp	P56705	WNT4_HUMAN	57.895	76	31	1	1	228	25	99	4.06e-23	92.8
comp1471_c0_seq1	sp	O15484	CAN5_HUMAN	59.124	137	56	0	4	414	38	174	2.09e-54	183
comp1698_c0_seq1	sp	P0C1Q2	PDE11_MOUSE	56.800	125	54	0	375	1	554	678	1.23e-45	160
comp1889_c0_seq1	sp	Q02357	ANK1_MOUSE	39.877	163	97	1	4	492	617	778	2.53e-29	116
comp1889_c0_seq1	sp	Q02357	ANK1_MOUSE	33.161	193	101	2	4	498	93	285	3.22e-24	101
comp1889_c0_seq1	sp	Q02357	ANK1_MOUSE	37.654	162	100	1	1	486	352	512	1.45e-22	96.7
comp1889_c0_seq1	sp	Q02357	ANK1_MOUSE	33.333	165	109	1	1	495	583	746	1.31e-21	94.0
comp1889_c0_seq1	sp	Q02357	ANK1_MOUSE	35.802	162	91	3	25	498	67	219	1.45e-21	94.0
comp2042_c0_seq1	sp	Q8Q0U0	Y045_METMA	44.030	134	75	0	2	403	157	290	6.65e-29	110
comp2042_c0_seq1	sp	Q8Q0U0	Y045_METMA	38.235	136	84	0	2	409	190	325	5.84e-28	108
comp2042_c0_seq1	sp	Q8Q0U0	Y045_METMA	38.971	136	83	0	2	409	124	259	3.44e-25	101
comp2042_c0_seq1	sp	Q8Q0U0	Y045_METMA	39.535	129	78	0	2	388	223	351	9.55e-22	92.0
